,OLS+H,OLS-3,ENet+H,PCR,PLS,RF,GBRT+H,GLM+H,NN1,NN2,NN3
OLS+H,,-1.8646218172870401,-4.468833753960732,-4.2443207019632965,-5.194018794636638,-3.249351056680311,-4.440667289750864,3.6055215405782692,0.8144764143715345,-0.017486279137018713,-1.8778979051427724
OLS-3,1.8646218172870401,,-3.330298042113329,-2.825942165557064,-1.7760497172470497,-1.708228314953289,-2.719779065760821,8.518947703582368,2.240472578990921,1.9209866162609182,0.5162092277733912
ENet+H,4.468833753960732,3.330298042113329,,5.1023306646249535,1.6768536540407684,1.0818353391122915,-0.37219465113101186,11.343837865019875,4.725285606511932,4.471918486407297,4.155876383610321
PCR,4.2443207019632965,2.825942165557064,-5.1023306646249535,,1.0179036077785453,0.6256017025719163,-0.8921856963877524,10.812694322912002,4.58121353299032,4.248729666837016,3.766084846509774
PLS,5.194018794636638,1.7760497172470497,-1.6768536540407684,-1.0179036077785453,,-0.07538753881778758,-1.6344931424716655,10.358329596824996,4.471160265065266,3.304006371223406,2.7020038226669536
RF,3.249351056680311,1.708228314953289,-1.0818353391122915,-0.6256017025719163,0.07538753881778758,,-1.8681801480728237,10.751103293199398,3.6697581042131713,3.404717510290437,2.433277937777643
GBRT+H,4.440667289750864,2.719779065760821,0.37219465113101186,0.8921856963877524,1.6344931424716655,1.8681801480728237,,13.4475357871785,4.59436904013934,3.681247294215951,3.354864879349338
GLM+H,-3.6055215405782692,-8.518947703582368,-11.343837865019875,-10.812694322912002,-10.358329596824996,-10.751103293199398,-13.4475357871785,,-2.467993988505617,-3.2166873322032696,-6.164068793003522
NN1,-0.8144764143715345,-2.240472578990921,-4.725285606511932,-4.58121353299032,-4.471160265065266,-3.6697581042131713,-4.59436904013934,2.467993988505617,,-0.8294493672211278,-2.5517802091130655
NN2,0.017486279137018713,-1.9209866162609182,-4.471918486407297,-4.248729666837016,-3.304006371223406,-3.404717510290437,-3.681247294215951,3.2166873322032696,0.8294493672211278,,-1.860965355706286
NN3,1.8778979051427724,-0.5162092277733912,-4.155876383610321,-3.766084846509774,-2.7020038226669536,-2.433277937777643,-3.354864879349338,6.164068793003522,2.5517802091130655,1.860965355706286,
